书名,简介,标签,链接,作者,类型,字数,完结状态,积分,发表时间,文案
死亡万花筒,赢为生，败则死。,灵异神怪 乔装改扮 无限流 升级流 正剧,http://www.jjwxc.net/onebook.php?novelid=3435320,西子绪,原创-纯爱-近代现代-爱情-主受,857083,完结,35938213888,2018-01-12 09:10:00,起初的异样，是家里的猫不让抱了。林秋石发现周围的一切都开始变得充满了不协调感。然后某一天，当他推开家中的门，却发现熟悉的楼道变成了长长的走廊。走廊的两头，是十二扇一模一样的铁门。故事由此开始。阮南烛对林秋石说，当你凝视深渊时，深渊也在凝视着你。林秋石听后陷入沉思，然后对着深渊拉下了裤子拉链……阮南烛：“……你把裤子给我好好穿上！”不皮会死病娇攻X一起皮的沉稳受，双皮奶组合，灵异风格升级流。周四入v，希望大家继续支持谢谢=3=
偏偏宠爱,全世界最好的他,重生 甜文 爽文 轻松,http://www.jjwxc.net/onebook.php?novelid=3694555,藤萝为枝,原创-言情-近代现代-爱情-女主,336676,完结,11148776448,2018-10-24 00:00:00,【出版名《偏偏宠爱》，收录新番外“仙女的青睐”等，当当、淘宝、京东均可购买。】重生回高二，孟听短暂生命里最好的一年。她这回一定要好好活。重拾跳舞的梦想。不再为了救火灾里的白眼狼妹妹毁容，保护好自己的容颜。更不会去招惹江忍，那个自己忌惮许久的少年。然而高二这年夏天，孟听回去拿自己的英语书。楼梯转角处，她隐约看见他们的身影。她停下脚步不敢过去。却不期然听见那个少年笑得肆意张狂：“我喜欢什么样？孟听那样的。”【霸王少年×国民初恋】“忍哥可别，校花那么难追。”“那就压上一辈子。”为她生，为她死，为她一生风尘仆仆，为她拂去墓碑尘埃。后来很多年，她曾畏惧、忌惮、厌恶的人，变成了全世界最好的少年。1，主校园重生文，好好学习，坚持梦想，这是个正能量文。2，恋爱小撩文，只为博君一笑，求不计较。3，女主重点高中的全能校花，男主只想恋爱的暴躁症职高不良少年。希望在晋江支持作者正版谢谢仙女们～4，补充主旨：本文立意不是能在职高遇见“江忍”，而是当你长大，好好学习和生活，努力变成“孟听”那样优秀可爱的人，会有“江忍”这样的人来爱你。桃李不言，下自成蹊，青春可贵，好好珍惜。排雷：非纯甜，合理讨论吐槽，不要引战，不要人身攻击。文明看文，互相尊重，感谢~微博：藤萝为枝欢迎找我玩完结文见专栏，专栏求个收藏么么哒。
破云2吞海,现代都市刑侦悬疑，HE,强强 天作之合 制服情缘 悬疑推理 正剧 HE,http://www.jjwxc.net/onebook.php?novelid=3617495,淮上,原创-纯爱-近代现代-悬疑-不明,855167,完结,36829851648,2019-05-10 16:25:13, 那些窥探的触角隐藏在互联网浪潮中，无处不在，生生不息，正逐渐将现代社会的每个角落淹没至顶。“深渊中隐藏着庞大、复杂、根深蒂固的犯罪网，‘马里亚纳海沟’远比警方所知的更加深邃，却又近在你我身后——”津海市公安局新来的吴雩温和懦弱、寡言少语，对来自严厉上司的刁难毫不在意，只想做个按时领工资混饭吃的背景板。没人知道这个年轻人有一颗被毒枭重金悬赏的项上头颅，和曾经深渊屠龙的少年肝胆。本文人设灵感见原文第125章作者有话说部分。步重华与吴雩都有被人生境遇逼迫压抑到极致后的扭曲爆发特性，人设非常清晰完整，主角塑造没有任何原型，不可作为任何代餐。现代都市刑侦，作风冷淡严厉强势注重健康热爱养生学院派精英攻&得过且过不想干活平生最烦学院派最讨厌被领导的受每周正常更六休一，HE
魔道祖师,冷酷仙君俏老祖（喂,灵异神怪 情有独钟 天作之合 仙侠修真 正剧,http://www.jjwxc.net/onebook.php?novelid=2368172,墨香铜臭,原创-纯爱-架空历史-爱情-主受,691111,完结,34773696512,2015-10-31 19:15:00,前世的魏无羡万人唾骂，声名狼藉。被情同手足的师弟带人端了老巢，纵横一世，死无全尸。曾掀起腥风血雨的一代魔道祖师，重生成了一个……脑残。还是个人人喊打的断袖脑残！我见诸君多有病，料诸君见我应如是。但修鬼道不修仙，任你千军万马，十方恶霸，九州奇侠，高岭之花，但凡化为一抔黄土，统统收归旗下，为我所用，供我驱策！蓝忘机（攻）×魏无羡（受）高贵冷艳闷骚攻×邪魅狂狷风骚受调戏不成反被【哔——】PS：●1V1主角受HE。●前世今生双线剧情，夫夫解谜打怪打孩子。●为了创造一个纯粹的书评环境，评论区希望大家可以专注讨论小说本身的内容~请不要讨论其他内容，更不要因此吵架，不要以任何理由互相攻击哦！如果看到不合适的评论，无需回复，轻点投诉即可。守护评论区需要每一位书友共同努力，谢谢大家了！●感谢大家为了保护首刷读者，忍住剧透和预警剧透。不过，晋江有规定评论不能是大段无意义的重复内容，会被清理掉的。所以，如果是想提醒首刷读者小心评论剧透，轻轻地简单提醒一句就好啦，不用叠罗汉昂。
AWM[绝地求生],你是我的可遇不可求,情有独钟 破镜重圆 体育竞技 甜文 轻松 电竞,http://www.jjwxc.net/onebook.php?novelid=3468871,漫漫何其多,原创-纯爱-近代现代-爱情-主攻,330466,完结,25505916928,2018-01-24 20:09:08, 电竞新文《FOG[电竞]》连载中，感谢支持。《AWM绝地求生》正版周边现已上市。感谢支持。购买店铺：HOG电子竞技俱乐部《AWM绝地求生》正版简体书现已上市。感谢支持。购买地址：翰联天猫店 当当网 现代电竞     甜度：++++++电竞明星大神慵懒老流氓队长攻X外硬内软孤僻新锐队员受【主角配角均无原型，谢谢大家】AWM：PUBG游戏中伤害最高获取最难的怪物大狙，空投终极梦想，威力足伤害高，无视任何头部防具爆头一枪倒地，唯一缺点：几率产出，获取极难，全凭运气。你是我的AWM的意思就是：你是我的可遇不可求。 推荐cp千鹤的现代甜文—>《迪奥先生》  专栏，求收养
判官,做个人叭,强强 灵异神怪 轻松,http://www.jjwxc.net/onebook.php?novelid=3515679,木苏里,原创-纯爱-近代现代-奇幻-不明,539210,完结,39188529152,2020-04-27 22:38:38,花里胡哨的“菜鸡”x住着豪宅的穷比判官这一脉曾经有过一位祖师爷，声名显赫现在却无人敢提，提就是他不得好死。只有闻时还算守规矩，每日拜着祖师青面獠牙、花红柳绿的画像，结果拜来了一位病歪歪的房客。房客站在画像前问：这谁画的？闻时：我。……别问，问就是感动。封面感谢@风漱
放学等我,x,花季雨季 情有独钟 破镜重圆 校园 轻松,http://www.jjwxc.net/onebook.php?novelid=5555568,酱子贝,原创-纯爱-近代现代-爱情-主受,386351,完结,39822360576,2022-01-04 20:00:00,喻繁看班里那位新来的转班生非常不爽。　　对方朝他看了一眼。喻繁：他在找我约架。　　第二眼。喻繁：他问我是不是怂了。　　第三眼。转班生依旧顶着那张面无表情的冰山脸，递给他一封信：“喻同学。”　　喻繁心想学霸就是臭讲究，打架还递挑战信，抡起衣袖站起身。　　“请你收下我的情书。”喻同学敦地一下坐回去了。——　　陈景深（攻）x喻繁（受）日常，慢热【【【【请求大家不要在本文相关以外的任何地方提及这篇文。请求大家不要出去拉踩、ky、空口鉴。】】】】大家看文就好。感谢
默读,罪案文,都市 悬疑推理 正剧,http://www.jjwxc.net/onebook.php?novelid=2771073,priest,原创-纯爱-近代现代-悬疑-主受,824288,完结,19225688064,2016-06-15 11:00:00,童年，成长经历，家庭背景，社会关系，创伤……我们不断追溯与求索犯罪者的动机，探寻其中最幽微的喜怒哀乐，不是为了设身处地地同情、乃至于原谅他们，不是为了给罪行以开脱的理由，不是为了跪服于所谓人性的复杂，不是为了反思社会矛盾，更不是为了把自己也异化成怪物——我们只是在给自己、给仍然对这个世界抱有期望的人——寻找一个公正的交待而已。CP:专治各种不服老流氓攻vs又怂又浪富二代受 （骆闻舟X费渡）情敌变情人。注意主角栏年上=w=15号开始连载，更新时间为每天中午11：00，断更请假感谢微博上的Conight做的封面=w=7月11日、第二十六章开始VIP，独家发表，请转载的诸位尽快撤文，感谢支持正版~
告白,假以时日美梦成真,情有独钟 天之骄子 业界精英 正剧,http://www.jjwxc.net/onebook.php?novelid=4836678,应橙,原创-言情-近代现代-爱情-男主,438656,完结,14945344512,2020-11-18 10:00:00,《告白》实体书上、下册已上市，各大电商平台有售^1大学时，周京泽和许随是云泥之别，永远不会有交集的两人。一个随性浪荡，众星捧月，一个乖巧安静，容易被忽略。她在图书馆写完一张又一张试卷时，无意窥见他与别人的暧昧风月，也目睹过他换了一个又一个的女朋友。一次聚会，许随醉酒，在一场起哄中鼓起勇气告白。周京泽愣了一下，随即挑起唇角漫不经心道：“不好意思啊，你太乖了。”2再重逢，他依旧是天之骄子，多次有意无意地相遇，许随将自己曾经不该有的想法藏得很好，和他保持距离。可他却步步紧逼，让许随无处可躲。终于，许随被抵在墙上哑声道：“为什么是我？”周京泽低头贴过来，热气拂耳，坏到了骨子里：“没有为什么，以前是老子眼瞎。”“明知隔太空，仍将爱慕天天入信封。”—《奇洛李维斯回信》 痞帅飞行员X乖乖女无原型/具体排雷见作话第一章灵感始于2018.11.文案于2020.6.11
我行让我上[电竞],喷子也有情喷子也有爱~,体育竞技 游戏网游 甜文 直播 轻松 电竞,http://www.jjwxc.net/onebook.php?novelid=4404708,酱子贝,原创-纯爱-近代现代-爱情-主受,539391,完结,44040929280,2020-06-28 10:00:00,LOL某场比赛，某知名气人主播正在解说并转播。　　主播：这辅助，真下饭。主播：打野如果是我队友，我现在已经挂在泉水为他弹钢琴了。主播：我建议这位选手回去好好练练他的补兵。　　观众：口嗨个p！你行你上啊！主播：你爹我还真行。观众：嗯嗯嗯:)你行我头砍下来给你踢。　　几个月后，LPL老牌战队TTC公布新中单选手，染着张扬蓝发的男生出现在观众的视野里，一手劫玩得出神入化，谁见谁死，女粉们纷纷在爬墙的边缘试探。MVP赛后采访，所有人屏住呼吸，一脸期待地看着这位新鲜血液。　　只见男生接过麦，笑着问：“星空tv用户ID叫‘郊区王者101’的那位水友，官网有我战队地址，你头什么时候寄过来？”　　·　　某场常规赛结束，工作人员去后台催战队成员上场接受采访，却在角落看见了TTC的新中单和打野。　　TTC第一王牌·打野爸爸Road正把他们队伍的新中单Soft怼在墙上，垂眼缓声问：“一会采访，知道该怎么做？”　　那位第一次上场就把自己的喷子形象钉死在观众心目中的暴躁中单，此刻整张脸红透：“知道。我不骂人……一定不骂人。”　　——路柏沅(攻)x简茸(受)没原型，没原型，没原型大约有两三章的女装情节。【【【【请求大家不要在本文相关以外的任何地方提及这篇文。拒绝拉踩，拒绝ky，拒绝空口鉴，从soft亲爹们做起。】】】】大家看文就好。感谢
我只喜欢你的人设[娱乐圈],你是我的文艺复兴。,都市 情有独钟 天作之合 娱乐圈 轻松,http://www.jjwxc.net/onebook.php?novelid=3828175,稚楚,原创-纯爱-近代现代-爱情-主受,624200,完结,20564420608,2018-11-10 22:00:00,骨子里又酷又A、风流浪荡的夏习清，靠着一张天使脸骗过了所有人，偏偏在爱豆面前暴露本性，初见即翻车。夏习清：我很喜欢你。周自珩：莫挨老子.jpg然而发布会观众席上三秒即过的美貌，让他以周自珩粉丝身份C位出道，和偶像一起上热搜，上真人秀，上…… 没错，就是你们想的那样。但和夏习清想的不一样啊。原以为钓的是娱乐圈绝世Alpha，扒了人设才知道是个纯情傲娇小学鸡。原以为拿的是我睡爱豆的剧本，最后成了爱豆睡我。刺激【点烟夏习清：不是最讨厌我吗？抱住不撒手是怎么回事？周自珩：真香。天使面孔又A又浪受 VS 总攻硬件纯情天使攻【【排雷】】：1、受是长在雷点上的男人！过去是风流top，无情史无前任【有经验】无反攻，前期性格表里不一，恃才傲物，其实内心自卑【不喜勿入，拜托各位了，进来看了两章骂角色真的很KY】2、受是回避依恋型人格，无法与人建立正常的恋爱关系（所以没前任）3、攻受人设都超级无敌杰克苏，全文尬苏。4、请勿到其他地方ky，圈地自萌。拒绝过度安利和吹捧。5、请勿拉其他文比较（或拿着这篇文拉踩别的文），看书就好。6、无原型，谢绝换头，请勿侵权。
欢迎进入梦魇直播间,不要随便当二五仔,强强 无限流 爽文 升级流 正剧,http://www.jjwxc.net/onebook.php?novelid=5484954,桑沃,原创-纯爱-近代现代-悬疑-主受,4069403,连载,51891720192,2021-11-07 12:00:00,【正文完】温简言最擅长见人说人话，见鬼说鬼话。某日，他突然被迫成为了梦魇直播间中的一位新手主播，真的会死那种。温简言：“……”我rnm某新人成为最受瞩目主播，原因竟然是太会坑人，而且还是坑人坑鬼无所不坑。这家伙迟早翻车！幸灾乐祸看热闹的观众越来越多，可怎么等也等不到那一天。不过……为什么这个直播间的任务越来越奇怪了呢？【高级主播支线任务：亲吻恶灵三十秒】【奖励：未知】【顶级主播主线任务：脱衣诱惑邪神三分钟】【奖励：未知】观众：哦豁，主播这是掌握了新的财富密码吗？快点快点，有什么是我们付费观众不能看的！顶级BOSS步步逼近，低声诱惑：“怎么样？炒cp吗？假戏真做那种。”温简言：“……”？？？对不起，我很有原则的，骗人不骗心的谢谢。——你不要过来啊！wb@桑沃君不想码字阅前小tip：1.本文cp巫烛，彼此唯一极粗双箭头，请勿拆逆2.全文背景架空，请勿联想代入3.不保证日更，以灵感为基准调整更新频率4.连载期长，会多次改换封面，勿吵架，wb会放出所有过往封面5.段评已开，勿在段评内剧透后续发展，会删除防盗比例60%，感谢大家支持正版！————预收：《人类最强被肃清后》文案：物种异变，末日降临，紧急应对小组成立。　　　　　　谢罔，紧急应对小组组长，人类坚实的最后壁垒，正直冰冷的雪亮刀锋。　　人们敬仰他的强大，也见识过他的恐怖。　　他既能拔刀护住身后的最后一个人，也能无情地下令处理掉一城的疑似感染者，只为将祸患的种子在源头掐灭。　　　　正因如此，在一切结束之后，他也成为了第一个被肃清的对象。　　　　待死亡的阴影散去，谢罔却发现，自己回到了末日发生之前，耳边还多出一个奇怪的声音。　　　　“瞧瞧，这就是当个好人的下场。”　　系统笑嘻嘻地说。　　“什么人类破晓之光，末日最强之剑，一旦没用了，不还是把你弃如敝履？”　　甜蜜的声音向他的耳朵里灌注着仇恨的毒药：　　“怎么样，想不想复仇？杀光那些把你当做工具的人类，让他们为所作所为付出代价，只要——”　　　　谢罔面无表情地听着耳边的絮语，拎刀走出房间，打车直奔200公里外的A市，给出的地址具体到了市区街道和小区名字。　　　　系统错愕：　　“啊？你去哪？”　　“等等等等，方向不对——”　　　　谢罔：“异种之王的老巢。”　　他终结过一次末日，自然也能终结第二次。　　　　系统：“……”　　干。　　我他妈能不知道你去的是哪吗！　　那就是我家！　　　　【混乱邪恶x极端正义】++++【假系统真反派异种之王攻x人类之光最强战力受】　　　　——　　　　他是永不弯折的刀锋，尖锐笔直，从不惘然。
黑莲花攻略手册[穿书],除魔卫道，攻略病娇=,史诗奇幻 轻松,http://www.jjwxc.net/onebook.php?novelid=3631938,白羽摘雕弓,原创-言情-架空历史-爱情-女主,439427,完结,9546066944,2018-06-25 02:45:24,黑莲花实体书已出版；最新作品《重生后和宿敌结婚了》专栏连载中～————这个世界妖物横行，正待英雄儿女书写传奇。可惜，你不是冰清玉洁的女主，不是身娇体贵的反派女二，而是人人讨厌的炮灰女三。原身暗恋男主，暗害女主，终其一生为男女主角的爱情之路使绊子，让姐控男二踩在脚下，用生命为“蠢”作注解。“你的意思是……抢了女主的男人，我就成功了？”“抱歉，您的攻略对象他……是女主的弟弟。”-弟弟？-对，就是慕家收养的那个暗恋自己无血缘“姐姐”而不得的，心术不正、心理扭曲、心狠手辣的……黑莲花弟弟。搅乱红鸾，扭转乾坤，除魔卫道……攻略病娇w
将进酒,恶狗对疯犬,强强 宫廷侯爵 情有独钟 天作之合 正剧,http://www.jjwxc.net/onebook.php?novelid=3373718,唐酒卿,原创-纯爱-架空历史-爱情-主受,1041869,完结,23582683136,2018-10-01 19:00:00,【有修改提示皆是在解锁中】浪荡败类纨绔攻vs睚眦必报美人受。恶狗对疯犬。中博六州被拱手让于外敌，沈泽川受押入京，沦为人人痛打的落水狗。萧驰野闻着味来，不叫别人动手，自己将沈泽川一脚踹成了病秧子，谁知这病秧子回头一口，咬得他鲜血淋漓。两个人从此结下了大梁子，见面必撕咬。“命运要我一生都守在这里，可这并非是我抉择的那一条路。黄沙淹没了我的手足，我不想再臣服于虚无的命。圣旨救不了我的兵，朝廷喂不饱我的马，我不愿再为此赴命。我要翻过那座山，我要为自己一战。”  1v1，HE，HE，HE。每晚19点更新。【大纲已完成，我知道我在写什么，我希望大家看清楚HE，稍微尊重一下我，感谢。】【预警】1、主cp萧驰野x沈泽川，萧攻沈受。2、有条百合线，还是重要角色。3、攻比之前几本的哥哥们更加混账。4、作者是个没文笔的大魔王，练节奏。5、我给磕头了各位大爷，看文案，看文案，【看清文案】。不要给作品戴高帽，架空标签从头到尾没变过，涉及剧透的长评请去该去的章节。
营业悖论[娱乐圈],Forever Kaleido,年下 情有独钟 娱乐圈 轻松,http://www.jjwxc.net/onebook.php?novelid=4313777,稚楚,原创-纯爱-近代现代-爱情-主受,671904,完结,24122558464,2020-01-29 21:00:00,入坑本文前请看排雷~有实力却很糊的男团Kaleido，偶然因一段机场他拍视频走红。视频里，全团最攻的老幺裴听颂把哥哥方觉夏抵在墙上，手拿机票轻拍他的脸，而方觉夏却只是拿走机票叼在唇边，整理衣襟。一场团内“霸凌”变身成刺激互撩，听觉cp横空出世。于是，潜规则传闻缠身的被弃王牌和传说中的带资空降背景户就这么捆绑在一起，明明出道就不合，却被迫开启漫漫虚假营业路。主舞主唱门面·理智坚韧美人受vs创作/rap/总攻担当·叛逆不羁年下攻人生是一场关于营业的悖论。【排雷】1、[队内恋爱]，不喜勿入！2、受有潜规则传闻（没被潜会澄清），双初恋，感情线无虐3、架空娱乐圈，不写实勿较真。认为“明星有文化”这个设定很违和的请勿入，前中期有烧脑真人秀，不喜勿入。4、攻受开局关系差，开篇性格只是冰山一角，完整人设铺展很慢，别骂角色，不喜就弃5、无原型！【请勿提及三次元，这么个小糊团谁代谁糊】，谢绝换头，请勿侵权6、男团文有舞台所以会有不少原创歌词，不喜勿入7、会登顶有爽点但[非快节奏爽文]，【谢绝写作指导】，别勉强自己看文，开心最重要。8、请勿去其他地方ky，圈地自萌。9、请勿拉其他文来比较（或拿着这篇文拉踩别的文，都很ky），看书就好。
小蘑菇,到人类沦陷那一天。,科幻 末世 正剧 废土,http://www.jjwxc.net/onebook.php?novelid=4105840,一十四洲,原创-纯爱-幻想未来-科幻-主受,313923,完结,22732595200,2019-10-17 06:00:00,安折是朵蘑菇，毕生使命就是养出一颗自己的孢子。有一天，他把孢子弄丢了。他满世界找了很久，终于在新闻上看到了眼熟的孢子。安折绝望地敲开了人类军方某位上校的家门。“先生，您好。您手下那项研究进行得好吗？研究完可不可以把我的儿子还给我？”上校一脸冷漠：“你的儿子？”“我生的QAQ”上校：“我养的。”“真的，先生，我亲生的QAQ”“再生一个我看看。”安折：“嘤。”[食用指南]1.孢子不是生子。2.废土科幻，微克苏鲁。3.正常早6：00左右更新，有事会请假。11.7周四入v。*除了实体商志的独家番外，晋江上的连载版即为全部内容，无其它任何增添补充。
