书名,简介,标签,链接,作者,类型,字数,完结状态,积分,发表时间,文案
天官赐福,为你，所向披靡！,灵异神怪 情有独钟 仙侠修真 励志 轻松,http://www.jjwxc.net/onebook.php?novelid=3200611,墨香铜臭,原创-纯爱-架空历史-爱情-主受,1093083,完结,75176878080,2017-06-16 18:01:18,订阅请注意：█【1-220章】为天官赐福完整版全文+番外。看文仅购买这一部分即可，不用全文购买的！█【221-247】为连载版里删除的内容节选，供部分旧版读者参考。不购买此部分不影响看文，请酌情考虑是否购买。█新增剧情较多，无法一一标注，比较集中的部分在章节简介里有提示。【248-252】的锁章为废稿，不看不影响阅读。█因为内容调整，现在的章节内容和以前的评论是错位的。简体实体书已上市，出版解锁不易，感谢大家的包容和支持（*＾＾）/~~　为你，所向披靡！　C天R地小妖精攻×仙风道骨收破烂受 　啊那个收破烂的天界公务员，跟鬼界第一大佬有一腿！ 　PS： 　●主受1V1HE，攻受都为彼此神魂颠倒。 　●攻第7章出场第13章露脸。 　●首刷千万别看评论，剧透防不胜防，非常影响阅读体验。同样，也请大家忍住，一定不要在前面章节的评论里剧透，这对后来的读者不友好也不公平。 　●不要相信“先看XXX章”之类的话。不但根本看不懂，还会被严重剧透。所以也请大家千万不要对后来的读者这样开玩笑。 　●预防针：一三五卷为现在时，二四卷为过去式。十分慢热，也许不热。有历险，有日常。时而乌龟慢爬，时而野狗脱缰。 　●最重要的：喜欢便留，不喜便散，不必勉强。感谢。
某某,彼时正年少,花季雨季 情有独钟 破镜重圆 校园 正剧,http://www.jjwxc.net/onebook.php?novelid=3173202,木苏里,原创-纯爱-近代现代-爱情-不明,438115,完结,49681080320,2019-08-07 18:56:00,盛望搬进了白马弄堂的祖屋院子，一并搬进来的还有他爸正在交往的女人。他爸指着那个女人的儿子对他说：叫哥。桀骜不驯吃软不吃硬的制冷机（攻）x自认很金贵的懒蛋小少爷（受）盛望：我笔直。江添：我恐同。1v1+he
伪装学渣,好巧，你也是学霸？,花季雨季 欢喜冤家 甜文 轻松,http://www.jjwxc.net/onebook.php?novelid=3190033,木瓜黄,原创-纯爱-近代现代-爱情-主受,384507,完结,22939656192,2017-12-26 22:22:22,分班后，两位风靡校园的“问题少年”不止分进一个班还成为同桌。明明是学霸却要装学渣，浑身都是戏，在表演的道路上越走越远。-818我们班里每次考试都要争倒数第一的两位大佬。注孤生戏精攻（贺朝）x不服就干泯灭人性受（谢俞）【标了攻受，不互攻，不要站错拉基本上是一本正经的搞笑文，关于成长的一点小事。防Ky：同类型校园文不代表谁像谁，不要去别的文底下打扰其他作者，不要空口鉴抄！！希望互相尊重。谢谢。讲素质讲文明，世界和平。微博@炸天黄
全球高考,并肩炸考场,强强 无限流 相爱相杀 未来架空 轻松,http://www.jjwxc.net/onebook.php?novelid=3419133,木苏里,原创-纯爱-近代现代-剧情-主受,589514,完结,44558225408,2018-10-10 20:03:00,全球大型高危险性统一考试，简称全球高考。真身刷题，及格活命。考制一月一改革，偶尔随机。梗概：两位大佬对着骚。1v1，HE，通篇鬼扯。
破云,现代都市刑侦悬疑，狗血HE,强强 制服情缘 业界精英 悬疑推理 正剧 HE,http://www.jjwxc.net/onebook.php?novelid=3395943,淮上,原创-纯爱-近代现代-悬疑-主受,823314,完结,39809503232,2017-12-15 12:36:06, 城市天空，诡云奔涌三年前恭州市的缉毒行动中，因总指挥江停判断失误，现场发生连环爆炸，禁毒支队伤亡惨重。三年后，本应早已因过殉职并尸骨无存的江停，竟奇迹般从植物人状态下醒来了。英魂不得安息，他必须从地狱重返人间，倾其所有来还原血腥离奇的真相。在本文人设中，严峫表面痞段子手但心细如丝且非常正气，江停智商很高身体素质很差，说话反复斟酌性格克制谨慎，表面温文儒雅但行事作风带邪性。两个主角人设清晰自洽，没有任何原型，不可作为任何代餐。现代都市刑侦，英俊潇洒十项全能进可百米狙人头退可徒手拆炸|弹没事就爱装个逼的攻&因为反正随时准备完蛋所以不管发生什么事都很淡定的受正常每周更六休一，HE
难哄,合租室友总以为我想泡他,欢喜冤家 天之骄子 甜文 轻松,http://www.jjwxc.net/onebook.php?novelid=4001734,竹已,原创-言情-近代现代-爱情-女主,389931,完结,21199316992,2020-03-17 20:20:17,【全文完，下本写《折月亮》】机缘巧合之下，温以凡跟曾被她拒绝过的高中同学桑延过上了合租的生活。两人井水不犯河水，像是同住一屋檐下的两个陌生人。平静的生活中止于某个晚上。温以凡从桑延口里得知自己近期梦游的事情。她有些窘迫，也不知道该做出什么反应：“昨晚应该是你第一次看到我梦游吧？”桑延散漫道：“还有一次。”温以凡沉默两秒，迟疑说：“那我……做了什么吗？”“你突然跑出来抱住我。”“？”桑延挑眉，闲闲地补充了句。“还亲了我一下。”*人骚嘴贱大少爷x其实很崩溃但也能做到比他更骚的假淡定微博@小竹已【《折月亮》文案】放弃追傅识则的那天，云厘红着眼睛，删掉了关于他的所有联系方式。再后来，两人在一起后的某天。云厘不擅长与人打交道，纠结了好一阵要不要删掉一个突然对她表露出暧昧倾向的男性朋友。旁边的傅识则靠在沙发上，懒懒地看着她，突然笑了声，语气没什么温度：“可以。”云厘抬头：“？”“删我微信就这么干脆。”“……”*女追男*轻度社恐x病弱冷败类
偷偷藏不住,少女暗恋成真,情有独钟 励志 甜文 轻松,http://www.jjwxc.net/onebook.php?novelid=3676002,竹已,原创-言情-近代现代-爱情-女主,372139,完结,19598329856,2019-01-22 20:19:22,※实体书已出版上市，各平台均有售=v=十三岁那年，桑稚偷偷喜欢上一个男人。男人的模样冷淡慵懒，说起话来吊儿郎当的，经常来她家，一个下午窝在她哥哥房间里打游戏。偶尔见她进来送水果零食，也只是漫不经心地掀起眼皮，笑得像个妖孽：“小孩，你怎么回事啊？一见到哥哥就脸红。”*妖孽腹黑x乖张少女微博@小竹已
我喜欢你的信息素,校园文,幻想空间 花季雨季 甜文 校园 轻松,http://www.jjwxc.net/onebook.php?novelid=3935896,引路星,原创-纯爱-近代现代-爱情-主受,344003,完结,21448851456,2019-05-14 19:00:00,作为一个长得好、家庭背景也不错Beta，段嘉衍顺风顺水浪了十几年，直到高中遇见路星辞。路星辞家世比他好，人比他高，篮球打得比他好，学习更是甩段嘉衍八百条街，就连段嘉衍的狐朋狗友，偶尔也会忍不住夸赞路星辞几句。最重要的是，段嘉衍盯上的姑娘，坦言自己喜欢校草路星辞多年了。段嘉衍从此单方面看不顺眼路星辞，直到有一天，他拿到了自己最新的体检报告。他是个分化迟了的Omega，因为分化得太晚，人给憋坏了，Alpha一靠近段嘉衍就会浑身疼痛想揍人。他对所有Alpha的信息素过敏，除了路星辞。-一天晚自习。段嘉衍身体不舒服，不得不麻烦路星辞咬一口他的脖子，做个临时标记。做完标记，路星辞散漫道：“我们Alpha脾气都很差、很小气，你让我帮你做标记，有报酬么？”“那你……”段嘉衍试探性问：“大气点？”“行啊，”对方长眸微垂，点了点自己白皙的脖颈：“你也咬回来，我就不计较了。”段嘉衍：“……”
我在无限游戏里封神,满级玩家重回新手村,灵异神怪 无限流 爽文 直播 正剧,http://www.jjwxc.net/onebook.php?novelid=4218910,壶鱼辣椒,原创-纯爱-近代现代-爱情-主受,2573738,完结,25653231616,2020-06-24 18:00:00,正文已完结白柳在失业后被卷入一个无法停止的直播游戏中，游戏中充满了各种各样的怪物和蕴含杀意的玩家一开始所有人都以为白柳只是个误入游戏的普通人后来，他们才明白，是这个游戏用胜利和桂冕在恭迎属于它的神明，对白柳说，欢迎回家恐怖神明非人类美攻*特别爱钱随便炸场有点疯受参考了跑团，克系等科幻灵异世界观，非现实纯架空世界，所有都是私设阅读注意事项：大男主无限流慢热升级流爽文排雷：主剧情，感情戏份极少，攻切片，大大大长篇，受是中二杰克苏，还很万人迷，雷点可能相当密集，介意这些读者慎入，如果怕被雷的读者也可以等完结之后等其他读者排雷之后再入本文为现实架空游戏设定，与现实毫无关系，请大家不要代入现实欢迎各位踊跃评论点评，正负零分都可以，但如果中途看得真的很不爽，还是建议大家及时止损，骂我几条就可以弃文了，不用相信别人安利时说什么【这本文后续会很好看】忍着看下去，这文后面和前面差不多水平的，所以当你觉得前面看得不爽，我真诚建议快跑.jpg，花钱看文的读者没必要让自己受这个委屈但激烈人身攻击，引战拉踩等违背晋江规定的评论我是会申请删除的，请大家不要去其他人的文下提我的文，我在其他文下看到了会举报的，视频也是防盗比例百分之五十，购买达到比例后的读者如果不能看新章可以尝试清理缓存，或者拨打客服，更新时间一般在晚上，V后应该会经常加更希望大家和谐讨论，开心看文
撒野,来啊，撒野呀，反正有大把时光,强强 轻松,http://www.jjwxc.net/onebook.php?novelid=2956313,巫哲,原创-纯爱-近代现代-爱情-互攻,909615,完结,32522029056,2016-10-30 10:30:00,校园文。HE。更新时间周一二三五六晚7点40。写不出文案的作者跪在这里。封面字体感谢@零雨其蒙蒙！小线人感谢@二喜砸果叽！
